PAYROLL_BATCH_ID|TAX_YEAR|INV_PREFIX|INV_SUB|INVOICE_COUNTER|CLIENT_ID|SITE|PAYROLL_BATCH_ERROR_TYPE_ID|INVOICE_SUBTYPE_ID|CURRENT_PM_USER_ID|PAYROLL_RECEIVE_METH_TYPE_ID|ASSIGN_STAMP
1528105|2011|PC|  |04305500    |39832|CA||1|9031|10|
1528109|2011|PC|  |04305501    |39832|CA||1|9031|10|
1273891|2010|PC|  |04195117    |39832|CA||1|9031|5|
1276835|2010|PC|  |04196367    |39832|CA||1|9031|10|
1276837|2010|PC|  |04196368    |39832|CA||1|9031|10|
1276838|2010|PC|  |04196369    |39832|CA||1|9031|10|
1276896|2010|PC|  |04196396    |39832|CA||1|9031|5|
1276897|2010|PC|  |04196397    |39832|CA||1|9031|5|
1276898|2010|PC|  |041398    |39832|CA||1|9031|5|
1276899|2010|PC|  |04196399    |39832|CA||1|9031|5|
1282018|2010|PC|  |041454    |39832|CA||1|9031|1|
1289277|2010|PC|  |04200751    |39832|CA||1|9031|10|
1289280|2010|PC|  |04200752    |39832|CA|1|5|9031|10|
1290436|2010|PC|  |04201052    |39832|CA|1|5|9031|10|
1294455|2010|PC|  |04203167    |39832|CA||1|9031|10|
1294458|2010|PC|  |04203171    |39832|CA||1|9031|10|
1294460|2010|PC|  |04203173    |39832|CA||1|9031|10|
1303438|2010|PC|  |04206290    |39832|CA||1|9031|5|
1306223|2010|PC|  |04207222    |39832|CA||1|9031|10|
1305968|2010|PC|  |04207152    |39832|CA||1|9031|5|
1308885|2010|PC|  |04208360    |39832|CA||1|9031|10|
1308888|2010|PC|  |042361    |39832|CA||1|9031|10|
1308895|2010|PC|  |04208364    |39832|CA||1|9031|10|
1319620|2010|PC|  |04212837    |39832|CA||1|9031|1|
1323730|2010|PC|  |04214374    |3832|CA||1|9031|5|
1326431|2010|PC|  |04215721    |39832|CA||1|031|10|
1326436|2010|PC|  |04215722    |39832|CA||1|9031|10|
1326464|2010|PC|  |04215735    |39832|CA||1|9031|5|
1326466|2010|PC|  |04215736    |39832|CA||1|9031|5|
1334915|2010|PC|  |04219011    |39832|CA||1|9031|10|
1342475|2010|PC|  |04222231    |39832|CA||1|9031|5|
1342476|2010|PC|  |04222233    |39832|CA||1|9031|5|
1342477|2010|PC|  |04222235    |3983|CA||1|031|5|
1342946|2010|PC|  |04222415    |39832|CA||1|9031|10|
1342947|2010|PC|  |04222418    |39832|CA||1|9031|10|
1342956|2010|PC|  |04222420    |39832|CA||1|9031|10|
1344096|2010|PC|  |04223112    |39832|CA||1|9031|5|
1351819|2010|PC|  |04225860    |39832|CA||1|9031|1|
1351846|2010|PC|  |04225870    |39832|CA||1|9031|1|
1359814|2010|PC|  |04229560    |39832|CA||1|9031|1|
1359871|2010|PC|  |04229584    |39832|CA||1|9031|1|
1359874|2010|PC|  |04229585    |39832|CA||1|9031|5|
1359876|2010|PC|  |04229587    |39832|CA||1|9031|1|
1360352|2010|PC|  |04229758    |39832|CA||1|9031|10|
1360355|2010|PC|  |04229760    |39832|CA||1|9031|10|
1369270|2010|PC|  |04233490    |39832|CA||1|9031|1|
1374561|2010|PC|  |04236202    |39832|CA||1|9031|10|
1377666|2010|PC|  |04237797    |39832|CA||1|9031|10|
1377667|2010|PC|  |04237799    |39832|CA||1|9031|10|
1377670|2010|PC|  |04237802    |39832|CA||1|9031|10|
1377854|2010|PC|  |04237895    |39832|CA||1|9031|5|
1377855|2010|PC|  |04237896    |39832|CA||1|9031|5|
1386728|2010|PC|  |04241548    |39832|CA||1|9031|10|
1388338|2010|PC|  |04242691    |39832|CA||1|9031|1|
1389579|2010|PC|  |04243051    |39832|CA||1|9031|1|
1391937|2010|PC|  |04244527    |39832|CA||1|9031|5|
1392698|2010|PC|  |04244758    |39832|CA||1|9031|5|
1393222|2010|PC|  |04244832    |39832|CA||1|9031|1|
1402285|2010|PC|  |04249190    |39832|CA||1|9031|10|
1404111|2010|PC|  |04249625    |39832|CA||1|9031|10|
1404175|2010|PC|  |04249635    |39832|CA||1|9031|10|
1406822|2010|PC|  |04250948    |39832|CA||1|9031|5|
1408066|2010|PC|  |04251671    |39832|CA||1|9031|5|
1409243|2010|PC|  |04252246    |39832|CA||1|9031|10|
1409245|2010|PC|  |04252247    |39832|CA||1|9031|10|
1417317|2010|PC|  |04255178    |39832|CA||1|9031|1|
1435747|2010|PC|  |04262055    |39832|CA||1|9031|10|
1423267|2010|PC|  |04257033    |39832|CA||1|9031|5|
1424411|2010|PC|  |04257564    |39832|CA||1|9031|5|
1424412|2010|PC|  |04257566    |39832|CA||1|9031|5|
1424415|2010|PC|  |04257567    |39832|CA||1|9031|5|
1426263|2010|PC|  |04258589    |39832|CA||1|9031|10|
1426265|2010|PC|  |04258591    |39832|CA||1|9031|10|
1426273|2010|PC|  |04258595    |39832|CA||1|9031|10|
1436981|2010|PC|  |04262410    |39832|CA||1|9031|10|
1437004|2010|PC|  |04262422    |39832|CA||1|9031|10|
1438568|2010|PC|  |04263046    |39832|CA||1|9031|5|
1439430|2010|PC|  |04263286    |39832|CA||1|9031|5|
1441376|2010|PC|  |04264223    |39832|CA||1|9031|1|
1441510|2010|PC|  |04264262    |39832|CA||1|9031|5|
1441514|2010|PC|  |04264267    |39832|CA||1|9031|5|
1451501|2010|PC|  |04267760    |39832|CA||1|9031|1|
1452865|2010|PC|  |04268366    |39832|CA||1|9031|10|
1452916|2010|PC|  |04268380    |39832|CA||1|9031|10|
1504026|2011|PC|  |04296297    |39832|CA||1|9031|10|
1504082|2011|PC|  |04296307    |39832|CA||1|9031|10|
1457466|2010|PC|  |04269921    |39832|CA||1|9031|5|
1457607|2010|PC|  |04269945    |39832|CA||1|9031|5|
1470233|2010|PC|  |04274349    |39832|CA||1|9031|10|
1471087|2010|PC|  |04274606    |39832|CA||1|9031|10|
1471382|2010|PC|  |04274757    |39832|CA||1|9031|10|
1471405|2010|PC|  |04274765    |39832|CA||1|9031|10|
1471409|2010|PC|  |04274766    |39832|CA||1|9031|10|
1473352|2010|PC|  |04275457    |39832|CA|1|5|9031|10|
1475421|2011|PC|  |04285385    |39832|CA||1|9031|10|
1475423|2011|PC|  |04285386    |39832|CA||1|9031|10|
1475426|2011|PC|  |04285387    |39832|CA||1|9031|10|
1475502|2011|PC|  |04285418    |39832|CA||1|9031|5|
1475743|2011|PC|  |04285513    |39832|CA||1|9031|10|
1475744|2011|PC|  |04285516    |39832|CA||1|9031|10|
1476445|2010|PC|  |04276046    |39832|CA|6|5|9031|10|
1476510|2011|PC|  |04285900    |39832|CA|1|5|9031|10|
1477167|2010|PC|  |04276080    |39832|CA|1|5|9031|10|
1483098|2011|PC|  |04288076    |39832|CA||1|9031|5|
1487605|2011|PC|  |04289962    |39832|CA||1|9031|5|
1488268|2011|PC|  |04290149    |39832|CA||1|9031|10|
1488276|2011|PC|  |04290150    |39832|CA||1|9031|10|
1488681|2011|PC|  |04290258    |39832|CA||1|9031|5|
1495778|2011|PC|  |04292819    |39832|CA|1|13|9031|10|
1500999|2011|PC|  |04294858    |39832|CA||1|9031|5|
1501206|2011|PC|  |04294922    |39832|CA||1|9031|10|
1501874|2011|PC|  |04295164    |39832|CA||1|9031|5|
1510492|2011|PC|  |04298392    |39832|CA||1|9031|10|
351|2008|PC|  |03626203    |39832|CA||1|9027|5|
1054|2008|PC|  |03626969    |39832|CA||1|9027|10|
1058|2008|PC|  |03627027    |39832|CA||1|9027|10|
1068|2008|PC|  |03627037    |39832|CA||1|9027|10|
