Title,Name
"A Copland Celebration, Vol. I",Aaron Copland & London Symphony Orchestra
A Matter of Life & Death,Iron Maiden
A Real Dead One,Iron Maiden
A Real Live One,Iron Maiden
A Soprano Inspired,"Britten Sinfonia, Ivor Bolton & Lesley Garrett"
A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana
A-Sides,Soundgarden
Ace Of Spades,Motorhead
Achtung Baby,U2
Acústico,Titas
Acustico MTV,Os Paralamas Do Sucesso
Acustico MTV [Live],Cidade Negra
"Adams, John: The Chairman Dances",Edo de Waart & San Francisco Symphony
Adorate Deum: Gregorian Chant from the Proper of the Mass,Alberto Turco & Nova Schola Gregoriana
Afrociberdelia,Chico Science & Nacao Zumbi
Album Of The Year,Faith No More
Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
All That You Can't Leave Behind,U2
Allegri: Miserere,"Richard Marlow & The Choir of Trinity College of Cambridge"
Angel Dust,Faith No More
Aquaman,Aquaman
Ao Vivo,Zeca Pagodinho
Appetite for Destruction,Guns N' Roses
Are You Experienced?,Jimi Hendrix
Armada: Music from the Courts of England and Spain,Fretwork
Arquivo II,Os Paralamas Do Sucesso
Arquivo Os Paralamas Do Sucesso,Os Paralamas Do Sucesso
As Cancoes de Eu Tu Eles,Gilberto Gil
Audioslave,Audioslave
Axe Bahia Year 2001,Various Artists
