Execution,Start,Elapsed Time,Products Found,Browser
WEB03_HOME_WIRELESS,2018-08-25 22:18:29,336.611,42,chrome
WEB03_HOME_WIRELESS,2018-08-25 22:24:49,341.289,42,chrome.headless
WEB03_HOME_WIRELESS,2018-08-25 22:31:15,275.075,42,firefox.headless
WEB03_HOME_WIRELESS,2018-08-25 22:36:30,278.049,42,firefox
WEB03_HOME_WIRELESS,2018-08-25 22:41:52,385.595,42,safari
WEB03_HOME_WIRELESS_400_100,2018-08-25 23:07:03,368.964,41,chrome
WEB03_HOME_WIRELESS_400_100,2018-08-25 23:13:55,322.306,41,chrome.headless
WEB03_HOME_WIRELESS_400_100,2018-08-25 23:19:59,263.345,39,firefox.headless
WEB03_HOME_WIRELESS_400_100,2018-08-25 23:25:01,273.272,42,firefox
WEB03_HOME_WIRELESS_400_100,2018-08-25 23:30:16,366.997,43,safari
WEB03_HOME_WIRELESS_NO_HIGHLIGHT,2018-08-26 00:27:04,245.87,40,chrome
WEB03_HOME_WIRELESS_NO_HIGHLIGHT,2018-08-26 00:31:50,338.776,39,chrome.headless
WEB03_HOME_WIRELESS_NO_HIGHLIGHT,2018-08-26 00:38:08,293.97,39,firefox.headless
WEB03_HOME_WIRELESS_NO_HIGHLIGHT,2018-08-26 00:43:43,136.989,26,firefox
WEB03_HOME_WIRELESS_NO_HIGHLIGHT1,2018-08-26 01:22:26,231.513,40,safari
WEB03_HOME_WIRELESS_NO_HIGHLIGHT1,2018-08-26 01:31:30,224.682,40,chrome
WEB03_HOME_WIRELESS_NO_HIGHLIGH2,2018-08-26 01:37:24,221.006,40,chrome
WEB03_HOME_WIRELESS_NO_HIGHLIGH2,2018-08-26 01:41:44,343.154,40,chrome.headless
WEB03_HOME_WIRELESS_NO_HIGHLIGH2,2018-08-26 01:48:07,274.306,40,firefox.headless
WEB03_HOME_WIRELESS_NO_HIGHLIGH2,2018-08-26 01:53:21,192.406,40,firefox
WEB03_HOME_WIRELESS_NO_HIGHLIGH2,2018-08-26 01:57:15,202.73,40,safari
WEB03_HOME_WIRELESS_HIGHLIGHT_100,2018-08-26 02:03:20,302.844,40,chrome
WEB03_HOME_WIRELESS_HIGHLIGHT_100,2018-08-26 02:09:04,285.875,40,chrome.headless
WEB03_HOME_WIRELESS_HIGHLIGHT_100,2018-08-26 02:14:32,275.468,40,firefox.headless
WEB03_HOME_WIRELESS_HIGHLIGHT_100,2018-08-26 02:19:47,179.528,36,firefox
WEB03_HOME_WIRELESS_HIGHLIGHT_100,2018-08-26 02:23:31,411.18,52,safari
,2018-08-26 19:39:22,273.646,47,chrome
,2018-08-26 19:44:38,263.472,49,chrome.headless
,2018-08-26 19:49:44,225.183,48,firefox.headless
,2018-08-26 19:54:11,215.113,47,firefox
,2018-08-26 19:58:31,230.796,49,safari
,2018-08-29 14:45:46,379.14,43,firefox
,2018-09-16 23:26:26,538.48,0,firefox
,2018-09-17 01:22:48,338.124,56,chrome
,2018-09-17 01:29:06,325.761,56,chrome.headless
,2018-09-17 01:35:10,289.607,61,firefox.headless
,2018-09-17 01:40:41,453.641,56,firefox
,2018-09-22 14:46:26,339.144,63,chrome.headless
,2018-09-22 14:53:55,354.736,60,chrome.headless
,2018-09-22 15:21:38,347.117,60,chrome.headless
,2018-09-22 15:31:55,340.901,58,chrome.headless
,2018-09-22 15:38:44,332.469,61,chrome.headless
,2018-09-22 15:45:53,310.508,53,chrome.headless
,2018-09-22 16:08:33,340.089,61,chrome.headless
,2018-09-22 16:15:19,324.27,57,chrome.headless
,2018-09-22 16:21:43,352.537,61,chrome.headless
,2018-09-22 16:28:35,340.063,60,chrome.headless
,2018-09-22 16:40:04,332.86,61,chrome.headless
,2018-09-22 16:46:46,331.727,58,chrome.headless
,2018-09-22 16:53:26,347.331,61,chrome.headless
,2018-09-22 17:01:12,339.407,62,chrome.headless
,2018-09-22 17:08:47,340.513,59,chrome.headless
,2018-09-26 14:48:55,414.304,52,chrome
